,brief,header,pub_time,type,url
0,诺华制药公司开辟了一种叫CAR-T的新型肿瘤疗法。,癌症治疗里程碑整一年，诺华Barrett再谈CAR-T未来,6小时前,AI+,https://www.leiphone.com/news/201809/oKCSrYQ6wI2qbkOg.html
1,华为已经生产了新的自研AI芯片的样品，并且新的芯片能够扮演与英伟达芯片类似的角色。,传华为推荐微软在数据中心使用其AI芯片，自研GPU终于要面市？,2小时前,业界,https://www.leiphone.com/news/201809/Uu7TiBZDWpD4iZ85.html
2,小米和荣耀无论是在产品线上还是在品牌上可以说完全是针锋相对的。,荣耀 8X 系列甩掉了畅玩的帽子，背后的原因却是小米,3小时前,业界,https://www.leiphone.com/news/201809/Lvf14XXLVUoIStdB.html
3,京东集团今日宣布，美国匹兹堡大学John A. Jurenko 杰出冠名讲席教授黄恒博士加入京东。,世界顶级机器学习科学家黄恒加入京东，出任京东大数据首席科学家,4小时前,业界,https://www.leiphone.com/news/201809/oNLx3MBtyArYqAR2.html
4,这不是演习！ATM机被攻破后直接“吐钱”,小心！ATM机可能把你的钱天女散花了,5小时前,业界,https://www.leiphone.com/news/201809/rhRlHXs1wjUMhuQG.html
5,网络安全的探索与创新永无止境，在0与1的世界，攻与防的较量永远不会止步。,喝一杯饮料就丧命？这可能不是投毒案件而是网络攻击,5小时前,业界,https://www.leiphone.com/news/201809/qw9rksi9TbHQtKp2.html
6,当前，智能生活已是大势所趋，智能家居的广泛应用只是时间问题，我们在享受前沿科技给自己带来的惊喜的同时，也应当学会如何安全地使用这些智能产品。,黑客眼中的智能家居啥样？全是漏洞，出入随心,5小时前,业界,https://www.leiphone.com/news/201809/aUd7PrOAQhgcKibx.html
7,2018年9月5日，汽车行业132年发展历史上的第一次开发者大会在深圳举行。,王传福：智能汽车是长了腿的超级手机  生态规模远超想象,6小时前,业界,https://www.leiphone.com/news/201809/xJ9gtqgr3Gz3ubY5.html
8,Google为数据工作者推出的又一“神器”,Google打造的新搜索工具，有戏吗？,8小时前,业界,https://www.leiphone.com/news/201809/vmsjiRGf5cRgN2lJ.html
9,汇聚国内外光电硬科技，极具规模影响力和商机的第20届中国国际光电博览会（CIOE中国光博会）于2018年9月5-8日在深圳会展中心拉开帷幕。,第20届中国国际光电博览会昨日深圳开幕,9小时前,业界,https://www.leiphone.com/news/201809/901jaAduEkddZDrk.html
10,智慧城市是集产业、技术、模式、资本等于一体的复杂巨系统。,智慧城市浪潮篇：IT厂商进军互联网的三板斧,9小时前,业界,https://www.leiphone.com/news/201809/f2KnRGWdUvu3qAFR.html
11,你学过指数吗？恐怕没几个人会对这个问题说 “No”。 指数式发展实实在在地就在我们身边、在我们手上发生。不相信吗？看看你的手机。,从摩尔定律到人工智能，指数定律释放人类潜能,10小时前,业界,https://www.leiphone.com/news/201809/9HMdkay2vNwW0aN5.html
12,雷锋早报,传ofo将完成新一轮融资；比亚迪高歌开放之路，与百度合作加深；美国司法部或调查社交巨头 | 雷锋早报,12小时前,业界,https://www.leiphone.com/news/201809/u9QyUsGYTBL5yT9F.html
